iter	RMSE
0	1743336.77
1	1714060.003
2	1690709.458
3	1663659.713
4	1637187.218
5	1609904.48
6	1584473.785
7	1561474.344
8	1538194.296
9	1518629.598
10	1497158.375
11	1475780.898
12	1459072.996
13	1440179.224
14	1423259.914
15	1405035.247
16	1389390.692
17	1373797.641
18	1356674.65
19	1342460.487
20	1328826.079
21	1314749.277
22	1300351.498
23	1289612.085
24	1276914.079
25	1261783.854
26	1250523.703
27	1239420.559
28	1228597.148
29	1216845.309
30	1207133.737
31	1198552.808
32	1188321.694
33	1179675.57
34	1168484.629
35	1159896.11
36	1150380.591
37	1140203.634
38	1132295.077
39	1123714.576
40	1113412.238
41	1104858.521
42	1097120.232
43	1087536.982
44	1082333.396
45	1076565.957
46	1070646.376
47	1064359.991
48	1057633.746
49	1051215.71
50	1045327.181
51	1038808.517
52	1035315.299
53	1029694.98
54	1025931.151
55	1022437.323
56	1016889.512
57	1010431.144
58	1004166.933
59	998697.4288
60	991876.1461
61	987696.8183
62	981925.5969
63	977479.0154
64	974008.1658
65	968415.3219
66	963525.3217
67	959867.7692
68	957354.8198
69	952921.204
70	949772.4502
71	944575.9948
72	940173.9506
73	937354.3617
74	934517.3603
75	931661.2727
76	927378.8894
77	923811.8511
78	919738.4984
79	916868.8908
80	913649.3801
81	911381.6107
82	906357.6031
83	902640.6269
84	900573.9511
85	897828.944
86	894450.3926
87	891263.1438
88	888335.0092
89	884467.5436
90	881480.0485
91	879193.6805
92	876627.1808
93	875196.8018
94	874337.3203
95	872997.9033
96	870850.44
97	868704.563
98	866948.2548
99	862401.7181
100	860702.5831
101	858450.9848
102	857341.9794
103	853215.1847
104	850920.6824
105	849090.145
106	848077.6479
107	845895.61
108	843449.762
109	840526.5586
110	838440.0502
111	837132.0429
112	834770.7311
113	831330.1187
114	829835.6303
115	827562.028
116	826343.569
117	823930.582
118	823169.866
119	822165.2094
120	821037.3435
121	819460.5981
122	818435.8491
123	817019.2744
124	815814.72
125	813455.3852
126	811460.0939
127	809376.4601
128	806917.7392
129	805836.6158
130	803562.9463
131	802508.8934
132	800414.3004
133	799145.8072
134	796523.9358
135	795428.681
136	793609.5304
137	791543.5285
138	790035.8195
139	789385.7896
140	786433.8538
141	784211.4535
142	783610.0681
143	781887.8048
144	779167.7622
145	778191.1389
146	776261.0492
147	775504.0882
148	775104.7242
149	774088.3834
150	773674.7561
151	772944.2453
152	771814.5485
153	771005.3213
154	769234.5511
155	767347.7085
156	764910.0359
157	762086.4239
158	761997.8962
159	759632.9076
160	757315.7006
161	755360.4665
162	752478.6857
163	751413.9749
164	749440.8438
165	748612.9628
166	746626.257
167	745499.2265
168	743611.6279
169	740624.8569
170	738977.9043
171	737482.4568
172	736708.4975
173	735194.6718
174	733226.9562
175	732806.6102
176	731655.616
177	731049.5088
178	729537.1108
179	728397.828
180	726824.4281
181	725743.1507
182	724969.3063
183	724765.0114
184	723750.2867
185	722691.4925
186	722000.0808
187	721784.3024
188	719607.0725
189	718031.9224
190	716047.0189
191	715232.5123
192	714085.0669
193	712495.7315
194	710466.2034
195	708063.3324
196	706186.2497
197	704621.5503
198	703711.2605
199	703007.4069
