iter	Passed	Remaining
0	166	166364
1	168	83909
2	171	56936
3	174	43555
4	178	35536
5	182	30302
6	187	26573
7	191	23728
8	196	21611
9	201	19903
10	204	18374
11	208	17153
12	209	15898
13	212	14999
14	217	14251
15	220	13573
16	224	12978
17	226	12383
18	230	11906
19	234	11466
20	237	11052
21	239	10642
22	241	10259
23	243	9889
24	245	9590
25	248	9306
26	251	9045
27	253	8788
28	255	8549
29	258	8353
30	261	8159
31	263	7977
32	265	7790
33	267	7597
34	269	7431
35	271	7282
36	275	7166
37	277	7036
38	280	6905
39	282	6776
40	284	6663
41	287	6562
42	290	6466
43	293	6382
44	295	6276
45	298	6184
46	301	6106
47	304	6047
48	307	5962
49	309	5878
50	311	5798
51	314	5725
52	315	5636
53	318	5582
54	319	5491
55	320	5409
56	323	5349
57	325	5291
58	329	5255
59	332	5205
60	335	5168
61	339	5137
62	342	5098
63	346	5071
64	349	5025
65	352	4985
66	356	4965
67	361	4949
68	364	4919
69	367	4886
70	370	4851
71	373	4810
72	376	4776
73	379	4746
74	382	4717
75	385	4688
76	388	4660
77	394	4661
78	398	4644
79	401	4617
80	405	4596
81	408	4573
82	411	4543
83	414	4516
84	417	4496
85	420	4473
86	424	4451
87	427	4432
88	432	4423
89	435	4400
90	438	4379
91	441	4356
92	444	4330
93	445	4293
94	446	4252
95	449	4233
96	453	4221
97	457	4207
98	460	4192
99	464	4177
100	473	4210
101	487	4291
102	498	4345
103	505	4357
104	510	4349
105	541	4568
106	557	4653
107	571	4717
108	575	4702
109	579	4691
110	584	4677
111	587	4656
112	590	4635
113	601	4672
114	604	4649
115	608	4638
116	611	4617
117	615	4599
118	616	4566
119	617	4529
120	620	4510
121	625	4501
122	628	4484
123	633	4477
124	637	4459
125	642	4458
126	647	4450
127	651	4439
128	656	4433
129	661	4428
130	664	4410
131	667	4387
132	670	4373
133	674	4361
134	678	4346
135	682	4334
136	691	4352
137	694	4339
138	698	4327
139	699	4299
140	704	4294
141	710	4290
142	715	4289
143	718	4272
144	721	4256
145	727	4253
146	731	4245
147	742	4272
148	746	4263
149	756	4286
150	758	4263
151	761	4250
152	765	4239
153	770	4232
154	773	4219
155	777	4204
156	779	4185
157	782	4167
158	782	4140
159	786	4129
160	789	4115
161	793	4102
162	796	4092
163	800	4080
164	803	4066
165	806	4051
166	809	4035
167	812	4022
168	816	4015
169	820	4003
170	823	3991
171	826	3980
172	834	3990
173	838	3978
174	841	3969
175	846	3962
176	849	3950
177	853	3939
178	855	3922
179	857	3906
180	860	3891
181	862	3874
182	864	3858
183	865	3837
184	867	3822
185	869	3806
186	872	3791
187	874	3777
188	876	3763
189	879	3748
190	882	3738
191	884	3723
192	887	3709
193	889	3695
194	892	3682
195	894	3669
196	897	3656
197	899	3642
198	901	3627
199	903	3612
200	905	3599
201	907	3584
202	909	3570
203	911	3557
204	913	3543
205	916	3531
206	918	3519
207	920	3506
208	923	3494
209	926	3484
210	929	3477
211	933	3468
212	936	3459
213	939	3451
214	943	3445
215	947	3439
216	951	3432
217	954	3424
218	957	3416
219	961	3408
220	965	3403
221	969	3395
